貸借,対象帳票,分類,勘定科目,税区分（勘定科目と紐づく）,BSの中カテゴリ,BSの大カテゴリ,PLの大カテゴリ,CFのカテゴリ（営業 or 投資 or 財務）,収益/売上 or 費用,accountId
借方,貸借対照表,現金及び預金,現金,対象外,流動資産,資産の部,,,,1
借方,貸借対照表,現金及び預金,当座預金,対象外,流動資産,資産の部,,,,2
借方,貸借対照表,現金及び預金,普通預金,対象外,流動資産,資産の部,,,,3
借方,貸借対照表,現金及び預金,定期預金,対象外,流動資産,資産の部,,,,4
借方,貸借対照表,現金及び預金,その他の預金,対象外,流動資産,資産の部,,,,5
借方,貸借対照表,売上債権,受取手形,対象外,流動資産,資産の部,,営業,,6
借方,貸借対照表,売上債権,売掛金,対象外,流動資産,資産の部,,営業,,7
借方,貸借対照表,売上債権,貸倒引当金,対象外,流動資産,資産の部,,営業,,8
借方,貸借対照表,有価証券,有価証券,対象外,流動資産,資産の部,,投資,,9
借方,貸借対照表,棚卸資産,商品,対象外,流動資産,資産の部,,営業,,10
借方,貸借対照表,棚卸資産,貯蔵品,対象外,流動資産,資産の部,,営業,,11
借方,貸借対照表,棚卸資産,材料,対象外,流動資産,資産の部,,営業,,12
借方,貸借対照表,棚卸資産,仕掛品,対象外,流動資産,資産の部,,営業,,13
借方,貸借対照表,棚卸資産,製品,対象外,流動資産,資産の部,,営業,,14
借方,貸借対照表,その他流動資産,前払金,対象外,流動資産,資産の部,,営業,,15
借方,貸借対照表,その他流動資産,立替金,対象外,流動資産,資産の部,,営業,,16
借方,貸借対照表,その他流動資産,短期貸付金,対象外,流動資産,資産の部,,財務,,17
借方,貸借対照表,その他流動資産,未収入金,対象外,流動資産,資産の部,,営業,,18
借方,貸借対照表,その他流動資産,未収賃貸料,対象外,流動資産,資産の部,,営業,,19
借方,貸借対照表,その他流動資産,繰延税金資産(流),対象外,流動資産,資産の部,,財務,,20
借方,貸借対照表,その他流動資産,仮払金,対象外,流動資産,資産の部,,営業,,21
借方,貸借対照表,その他流動資産,仮払消費税,対象外,流動資産,資産の部,,営業,,22
借方,貸借対照表,有形固定資産,建物,課仕 10%,固定資産,資産の部,,営業,,23
借方,貸借対照表,有形固定資産,附属設備,課仕 10%,固定資産,資産の部,,営業,,24
借方,貸借対照表,有形固定資産,構築物,課仕 10%,固定資産,資産の部,,営業,,25
借方,貸借対照表,有形固定資産,機械装置,課仕 10%,固定資産,資産の部,,営業,,26
借方,貸借対照表,有形固定資産,工具器具備品,課仕 10%,固定資産,資産の部,,営業,,27
借方,貸借対照表,有形固定資産,車両運搬具,課仕 10%,固定資産,資産の部,,営業,,28
借方,貸借対照表,有形固定資産,船舶,課仕 10%,固定資産,資産の部,,営業,,29
借方,貸借対照表,有形固定資産,一括償却資産,課仕 10%,固定資産,資産の部,,営業,,30
借方,貸借対照表,有形固定資産,土地,対象外,固定資産,資産の部,,営業,,31
借方,貸借対照表,有形固定資産,減価償却累計額,対象外,固定資産,資産の部,,営業,,32
借方,貸借対照表,無形固定資産,電話加入権,課仕 10%,固定資産,資産の部,,営業,,33
借方,貸借対照表,無形固定資産,ソフトウェア,課仕 10%,固定資産,資産の部,,営業,,34
借方,貸借対照表,無形固定資産,借地権,対象外,固定資産,資産の部,,営業,,35
借方,貸借対照表,無形固定資産,公共施設負担金,課仕 10%,固定資産,資産の部,,営業,,36
借方,貸借対照表,投資その他の資産,投資有価証券,対象外,固定資産,資産の部,,投資,,37
借方,貸借対照表,投資その他の資産,出資金,対象外,固定資産,資産の部,,投資,,38
借方,貸借対照表,投資その他の資産,長期貸付金,対象外,固定資産,資産の部,,財務,,39
借方,貸借対照表,投資その他の資産,長期前払費用,対象外,固定資産,資産の部,,投資,,40
借方,貸借対照表,投資その他の資産,敷金,対象外,固定資産,資産の部,,営業,,41
借方,貸借対照表,投資その他の資産,差入保証金,対象外,固定資産,資産の部,,営業,,42
借方,貸借対照表,投資その他の資産,預託金,対象外,固定資産,資産の部,,投資,,43
借方,貸借対照表,投資その他の資産,繰延税金資産(固),対象外,固定資産,資産の部,,投資,,44
借方,貸借対照表,繰延資産,創立費,課仕 10%,繰越資産,資産の部,,投資,,45
借方,貸借対照表,繰延資産,開業費,課仕 10%,繰越資産,資産の部,,投資,,46
借方,貸借対照表,諸口,未確定勘定,対象外,繰越資産,資産の部,,投資,,47
貸方,貸借対照表,仕入債務,支払手形,対象外,流動負債,負債の部,,営業,,48
貸方,貸借対照表,仕入債務,買掛金,対象外,流動負債,負債の部,,営業,,49
貸方,貸借対照表,その他流動負債,短期借入金,対象外,流動負債,負債の部,,財務,,50
貸方,貸借対照表,その他流動負債,未払金,対象外,流動負債,負債の部,,営業,,51
貸方,貸借対照表,その他流動負債,未払費用,対象外,流動負債,負債の部,,営業,,52
貸方,貸借対照表,その他流動負債,前受金,対象外,流動負債,負債の部,,営業,,53
貸方,貸借対照表,その他流動負債,預り金,対象外,流動負債,負債の部,,営業,,54
貸方,貸借対照表,その他流動負債,仮受金,対象外,流動負債,負債の部,,営業,,55
貸方,貸借対照表,その他流動負債,繰延税金負債(流),対象外,流動負債,負債の部,,営業,,56
貸方,貸借対照表,その他流動負債,預り保証金,対象外,流動負債,負債の部,,営業,,57
貸方,貸借対照表,その他流動負債,未払消費税,対象外,流動負債,負債の部,,営業,,58
貸方,貸借対照表,その他流動負債,未払法人税等,対象外,流動負債,負債の部,,営業,,59
貸方,貸借対照表,その他流動負債,保証金・敷金,対象外,流動負債,負債の部,,営業,,60
貸方,貸借対照表,その他流動負債,商品券,対象外,流動負債,負債の部,,営業,,61
貸方,貸借対照表,その他流動負債,仮受消費税,対象外,流動負債,負債の部,,営業,,62
貸方,貸借対照表,固定負債,長期借入金,対象外,固定負債,負債の部,,財務,,63
貸方,貸借対照表,固定負債,繰延税金負債(固),対象外,固定負債,負債の部,,財務,,64
貸方,貸借対照表,資本金,資本金,対象外,株主資本,純資産の部,,財務,,65
貸方,貸借対照表,資本準備金,資本準備金,対象外,株主資本,純資産の部,,財務,,66
貸方,貸借対照表,その他資本剰余金,その他資本剰余金,対象外,株主資本,純資産の部,,財務,,67
貸方,貸借対照表,利益準備金,繰越利益剰余金,対象外,株主資本,純資産の部,,財務,,68
貸方,貸借対照表,積立金等,別途積立金,対象外,株主資本,純資産の部,,財務,,69
貸方,貸借対照表,評価・換算差額等,その他有価証券評価差額金,対象外,評価・換算差額等,純資産の部,,投資,,70
貸方,貸借対照表,評価・換算差額等,土地再評価差額金,対象外,評価・換算差額等,純資産の部,,投資,,71
貸方,貸借対照表,新株予約権,新株予約権,対象外,新株予約権,純資産の部,,投資,,72
貸方,貸借対照表,新株式申込証拠金,新株式申込証拠金,対象外,新株予約権,純資産の部,,投資,,73
貸方,貸借対照表,自己株式,自己株式,対象外,新株予約権,純資産の部,,投資,,74
貸方,貸借対照表,自己株式申込証拠金,自己株式申込証拠金,対象外,新株予約権,純資産の部,,投資,,75
,損益計算書,売上高,売上高,課売 10%,,,売上高,営業,収益/売上,76
,損益計算書,売上高,売上値引・返品,課売-返還 10%,,,売上高,営業,収益/売上,77
,損益計算書,期首棚卸高,期首商品棚卸高,対象外,,,売上原価,営業,費用,78
